Wavelength (nm);x(λ);y(λ);z(λ);CIE D65 S(λ)
380;0.0014;0;0.0065;49.98
381;0.0014;3.34991E-05;0.001458882;50.5888933
382;0.0014;2.93265E-05;0.001848653;50.55554799
383;0.0014;2.68405E-05;0.002332503;50.47480499
384;0.0014;2.61711E-05;0.002930377;50.50393088
385;0.0022;0.0001;0.0105;52.31
386;0.0022;3.0851E-05;0.004566089;51.2862926
387;0.002463842;3.65109E-05;0.005663323;52.14358099
388;0.00496054;4.46104E-05;0.006994358;53.33279469
389;0.00717595;5.53354E-05;0.008601575;54.84270063
390;0.0042;0.0001;0.0201;54.65
391;0.01038108;8.54762E-05;0.012844471;58.70622391
392;0.011305652;0.000105339;0.015596722;60.97627181
393;0.011801328;0.000128722;0.018859148;63.40668964
394;0.011923691;0.000155897;0.022708444;65.94569808
395;0.0076;0.0002;0.0362;68.7
396;0.01137645;0.000222803;0.032513869;71.14573092
397;0.010906136;0.000263187;0.038663003;73.7113394
398;0.010450971;0.000308672;0.045784773;76.19706283
399;0.010124228;0.000359655;0.053994704;78.56641594
400;0.0143;0.0004;0.0679;82.75
401;0.010298514;0.00047987;0.074173841;82.83826447
402;0.01100699;0.000550073;0.086403974;84.69653616
403;0.012254262;0.000627725;0.100241647;86.34995188
404;0.014120864;0.000713422;0.115824825;87.79071599
405;0.0232;0.0006;0.1102;87.12
406;0.019974222;0.000911599;0.15277662;90.02888679
407;0.024059921;0.001025553;0.174411539;90.83518008
408;0.028962126;0.001150509;0.198319584;91.44560235
409;0.034697057;0.00128738;0.224614212;91.87389272
410;0.0435;0.0012;0.2074;91.49
411;0.048665327;0.00160093;0.284749424;92.25213679
412;0.056868062;0.001779877;0.318740465;92.24101374
413;0.065843753;0.001975291;0.355413184;92.12453506
414;0.075549836;0.002188583;0.394787266;91.92469078
415;0.0776;0.0022;0.3713;92.46
416;0.096937892;0.002675094;0.525340178;91.36316098
417;0.108492931;0.002951825;0.581845914;91.0445171
418;0.120526722;0.00325348;0.639512812;90.72786883
419;0.132961542;0.003582235;0.698063645;90.43210544
420;0.1344;0.004;0.6456;93.43
421;0.158706131;0.004330706;0.816716769;89.97087699
422;0.171846466;0.004755774;0.876277959;89.83472136
423;0.185051048;0.005218665;0.935643872;89.77780293
424;0.19823439;0.005722616;0.994559474;89.80973865
425;0.2148;0.0073;1.0391;90.06
426;0.224203089;0.006867829;1.110062818;90.16809546
427;0.236827552;0.007516729;1.166186489;90.50325515
428;0.249110412;0.008221944;1.220933549;90.94485315
429;0.260980523;0.00898779;1.274100078;91.49232527
430;0.2839;0.0116;1.3856;86.68
431;0.283221921;0.010719275;1.374938483;92.89384525
432;0.293476121;0.011693968;1.422266389;93.738401
433;0.303084004;0.012747222;1.467326506;94.67016405
434;0.31200146;0.013883217;1.50998076;95.68115184
435;0.3285;0.0168;1.623;95.77
436;0.327618948;0.016418016;1.587588897;97.90416502
437;0.334261129;0.017822479;1.62233613;99.09606594
438;0.340097075;0.019320581;1.654264153;100.3273047
439;0.345112748;0.020912554;1.68330405;101.5868207
440;0.3483;0.023;1.7471;104.86
441;0.352655235;0.024371699;1.732510765;104.1461454
442;0.355181358;0.026231495;1.7526059;105.4240027
443;0.356885256;0.028170226;1.769668839;106.686519
444;0.357778576;0.030179775;1.783694783;107.9236552
445;0.3481;0.0298;1.7826;110.94
446;0.357200659;0.034371221;1.802674434;110.2846552
447;0.355772193;0.036530248;1.807675081;111.3917367
448;0.353617934;0.038715303;1.809731524;112.4400201
449;0.350766739;0.040914419;1.808892479;113.4232021
450;0.3362;0.038;1.7721;117.01
451;0.343100111;0.045311987;1.798767622;115.1736483
452;0.338352425;0.047493265;1.789622466;115.9329601
453;0.333042592;0.049655199;1.777861865;116.6112709
454;0.327207379;0.051795344;1.763574326;117.2069488
455;0.3187;0.048;1.7441;117.41
456;0.314110504;0.056014468;1.727802428;118.1483463
457;0.306924146;0.058102276;1.706523487;118.4951503
458;0.299362508;0.060185501;1.683127237;118.7613911
459;0.2914626;0.062274127;1.657727107;118.9494898
460;0.2908;0.06;1.6692;117.81
461;0.27479272;0.066515151;1.601384676;119.1040694
462;0.266093;0.068694079;1.570683321;119.0783045
463;0.257195263;0.070930832;1.538458842;118.9897575
464;0.248131984;0.07324008;1.504835517;118.843319
465;0.2511;0.0739;1.5281;116.34
466;0.229632635;0.078135439;1.433891788;118.3975991
467;0.220255332;0.080751237;1.396820996;118.1091445
468;0.210829987;0.083498771;1.358849542;117.7843089
469;0.201382793;0.086392641;1.320100083;117.4285995
470;0.1954;0.091;1.2876;114.86
471;0.182521435;0.092677298;1.240749131;116.6461342
472;0.173153596;0.096096888;1.20038326;116.2297692
473;0.163856665;0.099720507;1.159709983;115.8032117
474;0.154651102;0.103562607;1.118840329;115.3710451
475;0.1421;0.1126;1.0419;115.39
476;0.136591212;0.111960626;1.036939045;114.5066127
477;0.127773324;0.116546149;0.996112004;114.0818273
478;0.11911984;0.121409424;0.955497184;113.6663525
479;0.110647202;0.1265658;0.915186833;113.2629636
480;0.0956;0.139;0.813;115.92
481;0.094307411;0.137820481;0.83582644;112.5015366
482;0.086470519;0.143950696;0.796938488;112.147046
483;0.078875112;0.150437787;0.758678901;111.8117518
484;0.071535362;0.157298178;0.721116887;111.4964711
485;0.058;0.1693;0.6162;112.37
486;0.057678023;0.172204962;0.648337896;110.9274725
487;0.051187372;0.180284355;0.613234798;110.6737116
488;0.045006286;0.188802833;0.579056905;110.4399301
489;0.03914764;0.197776334;0.545848927;110.2254238
490;0.032;0.208;0.4652;108.81
491;0.028447952;0.217149537;0.482496447;109.8503555
492;0.023631405;0.227577939;0.452416926;109.6874173
493;0.019186234;0.238518342;0.423437357;109.5390666
494;0.01512391;0.249982242;0.395578338;109.4038251
495;0.0147;0.2586;0.3533;109.08
496;0.008191741;0.274518244;0.369011389;109.1664891
497;0.005342744;0.287604212;0.348244542;109.0612593
498;0.002918189;0.301240801;0.328362515;108.9629224
499;0.000927139;0.315428578;0.30934824;108.8699853
500;0.0049;0.323;0.272;109.35
501;0.00172147;0.345444084;0.273848656;108.6947125
502;0.00236436;0.361256165;0.257323609;108.6098214
503;0.00254451;0.377587573;0.241587101;108.525249
504;0.002256644;0.394420417;0.226617258;108.4400236
505;0.0024;0.4073;0.2123;108.58
506;0.000260338;0.429496633;0.198887249;108.2644293
507;0.00145395;0.447681641;0.186080859;108.1728317
