CO_{2}	CO_{2}	CO_{2} - BH3	CO_{2} - BH3	CO_{2} - BH3						BH_{3}	BH_{3}	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - Add-CO2	BH_{3} - Add-CO2	BH_{3} - Add-CO2			AlH_{3}	AlH_{3}	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2			NMe_{3}	NMe_{3}	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2			PMe_{3}	PMe_{3}	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2			NCB	NCB	NCB - BH3	NCB - BH3	NCB - BH3	NCB - Add-CO2	NCB - Add-CO2	NCB - Add-CO2			NCAl	NCAl	NCAl - BH3	NCAl - BH3	NCAl - BH3	NCAl - Add-CO2	NCAl - Add-CO2	NCAl - Add-CO2			PCB	PCB	PCB - BH3	PCB - BH3	PCB - BH3	PCB - Add-CO2	PCB - Add-CO2	PCB - Add-CO2			PCAl	PCAl	PCAl - BH3	PCAl - BH3	PCAl - BH3	PCAl - Add-CO2	PCAl - Add-CO2	PCAl - Add-CO2
BH distance	OCO angle	Strain	Interaction	Total Energy						BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy
2.963	123.705	178.051	-190.231	-12.179						2.567	120.061	186.439	-217.302	-30.863						2.459	123.801	160.767	-184.236	-23.469						1.200	169.674	1.305	-5.645	-4.341	5.321	-9.268	-3.947			1.232	135.762	33.375	-28.779	4.596	53.116	-48.244	4.872			1.216	131.147	15.495	-32.925	-17.430	74.368	-91.917	-17.625			1.233	129.718	16.672	-34.241	-17.569	75.895	-93.474	-17.578			1.220	128.895	9.945	-20.483	-10.538	81.552	-92.242	-10.691			1.209	126.627	16.888	-33.494	-16.606	89.052	-105.726	-16.674
2.907	123.673	177.052	-189.195	-12.144						2.566	120.117	186.347	-217.135	-30.788						2.458	123.862	160.388	-183.758	-23.371						1.200	169.896	1.438	-5.600	-4.162	5.418	-9.085	-3.666			1.233	135.757	33.463	-28.816	4.646	53.143	-48.206	4.937			1.216	131.174	15.467	-32.833	-17.366	74.391	-92.012	-17.697			1.232	130.040	16.653	-33.912	-17.259	75.727	-93.052	-17.325			1.220	128.962	9.896	-20.419	-10.523	81.554	-92.213	-10.659			1.210	126.681	16.872	-33.476	-16.603	88.927	-105.593	-16.666
2.854	123.688	175.963	-187.934	-11.971						2.565	120.150	186.273	-217.071	-30.798						2.457	123.900	160.138	-183.353	-23.215						1.200	169.901	1.467	-5.605	-4.139	5.436	-9.079	-3.643			1.233	135.727	33.536	-28.786	4.751	53.175	-48.159	5.016			1.217	131.049	15.605	-32.997	-17.392	74.534	-92.040	-17.582			1.233	130.022	16.676	-33.928	-17.252	75.749	-93.062	-17.312			1.220	128.977	9.859	-20.364	-10.505	81.510	-92.133	-10.623			1.210	126.649	16.870	-33.465	-16.595	88.942	-105.588	-16.646
2.798	123.735	174.692	-186.436	-11.744						2.565	120.171	186.231	-217.062	-30.832						2.456	123.952	159.860	-182.911	-23.052						1.200	169.929	1.431	-5.576	-4.145	5.414	-9.063	-3.649			1.233	135.612	33.860	-28.994	4.867	53.315	-48.187	5.128			1.216	131.132	15.488	-32.849	-17.361	74.495	-92.093	-17.673			1.233	130.001	16.666	-33.913	-17.246	75.828	-93.111	-17.284			1.220	128.978	9.892	-20.359	-10.467	81.404	-92.028	-10.624			1.209	126.621	16.867	-33.473	-16.607	88.976	-105.608	-16.632
2.744	123.818	173.307	-184.710	-11.403						2.564	120.224	185.939	-216.787	-30.847						2.457	124.032	159.678	-182.664	-22.986						1.200	169.942	1.437	-5.569	-4.132	5.404	-9.056	-3.651			1.233	135.607	33.940	-28.997	4.943	53.410	-48.198	5.211			1.216	131.129	15.519	-32.877	-17.358	74.410	-91.933	-17.598			1.233	130.017	16.680	-33.919	-17.239	75.777	-93.080	-17.303			1.220	128.969	9.800	-20.250	-10.449	81.610	-92.186	-10.576			1.209	126.656	16.875	-33.477	-16.602	88.902	-105.515	-16.612
2.690	123.922	171.914	-182.908	-10.994						2.563	120.288	185.913	-216.729	-30.817						2.455	124.084	159.433	-182.311	-22.878						1.200	169.924	1.446	-5.568	-4.123	5.409	-9.052	-3.642			1.234	135.584	34.086	-29.054	5.032	53.442	-48.113	5.329			1.216	131.178	15.504	-32.872	-17.367	74.330	-91.902	-17.647			1.232	130.034	16.700	-33.925	-17.225	75.705	-93.010	-17.306			1.220	128.957	9.824	-20.254	-10.431	81.677	-92.236	-10.560			1.210	126.688	16.884	-33.479	-16.595	88.721	-105.322	-16.601
2.635	124.073	170.296	-180.782	-10.486						2.562	120.172	186.134	-216.971	-30.837						2.455	124.146	159.162	-181.879	-22.717						1.200	169.890	1.480	-5.560	-4.079	5.416	-9.053	-3.637			1.235	135.565	34.221	-29.108	5.114	53.478	-48.037	5.441			1.216	131.196	15.543	-32.872	-17.329	74.351	-91.914	-17.639			1.233	130.033	16.741	-33.958	-17.218	75.697	-92.991	-17.293			1.220	128.961	9.799	-20.199	-10.400	81.673	-92.206	-10.533			1.210	126.622	16.764	-33.355	-16.591	89.083	-105.682	-16.599
2.581	124.234	168.619	-178.442	-9.823						2.561	120.214	186.003	-216.837	-30.834						2.453	124.117	159.075	-181.671	-22.596						1.200	169.870	1.498	-5.562	-4.064	5.437	-9.053	-3.616			1.235	135.577	34.386	-29.208	5.178	53.484	-47.979	5.504			1.216	131.179	15.566	-32.896	-17.330	74.387	-91.957	-17.646			1.233	130.045	16.737	-33.939	-17.201	75.743	-92.977	-17.234			1.220	128.972	9.740	-20.116	-10.376	81.696	-92.150	-10.454			1.209	126.679	16.836	-33.421	-16.585	88.905	-105.490	-16.585
2.526	124.381	166.904	-175.994	-9.090						2.559	120.294	185.740	-216.500	-30.760						2.452	124.127	158.874	-181.315	-22.441						1.200	169.883	1.511	-5.572	-4.060	5.437	-9.053	-3.617			1.235	135.581	34.507	-29.244	5.263	53.490	-47.917	5.572			1.217	131.141	15.616	-32.940	-17.324	74.289	-91.841	-17.629			1.234	130.072	16.788	-34.004	-17.217	75.667	-92.906	-17.239			1.220	128.998	9.652	-19.998	-10.346	81.664	-92.086	-10.422			1.209	126.645	16.780	-33.365	-16.584	88.936	-105.507	-16.571
