CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}			BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}			AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}			NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}			PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}			NCB	NCB	NCB	NCB	NCB	NCB	NCB	NCB			NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl			PCB	PCB	PCB	PCB	PCB	PCB	PCB	PCB			PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl
BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI
2.963	123.705	110.377	67.524	607.593	-266.041	341.553	-530.796			2.567	120.061	107.767	77.746	671.829	-276.958	394.872	-610.677			2.459	123.801	100.256	59.485	679.618	-270.324	409.294	-592.075			1.200	169.674	0.000	0.000	14.886	-8.568	6.319	-8.216			1.232	135.762	0.000	0.000	99.668	-57.040	42.628	-67.338			1.216	131.147	0.000	0.000	93.262	-59.064	34.199	-63.956			1.233	129.718	0.000	0.000	99.718	-62.276	37.442	-68.515			1.220	128.895	0.000	0.000	61.766	-36.438	25.327	-42.445			1.209	126.627	0.000	0.000	105.469	-64.460	41.008	-71.602
2.907	123.673	108.921	67.979	613.654	-266.187	347.467	-535.672			2.566	120.117	107.774	77.647	671.764	-276.913	394.851	-610.488			2.458	123.862	100.212	59.151	679.681	-270.353	409.327	-591.631			1.200	169.896	0.044	0.089	15.796	-8.822	6.975	-8.702			1.233	135.757	0.074	0.013	100.252	-57.311	42.942	-67.690			1.216	131.174	0.068	-0.097	93.332	-59.095	34.237	-63.896			1.232	130.040	-0.126	0.107	98.389	-61.367	37.022	-67.775			1.220	128.962	-0.012	-0.036	61.671	-36.358	25.313	-42.366			1.210	126.681	-0.005	-0.011	105.304	-64.377	40.926	-71.501
2.854	123.688	107.577	68.235	618.278	-266.338	351.940	-538.874			2.565	120.150	107.772	77.575	671.699	-276.806	394.893	-610.468			2.457	123.900	100.071	59.043	679.415	-270.121	409.295	-591.193			1.200	169.901	0.055	0.106	15.821	-8.832	6.989	-8.718			1.233	135.727	0.110	0.052	100.727	-57.523	43.204	-67.920			1.217	131.049	0.159	-0.050	93.191	-59.106	34.086	-63.907			1.233	130.022	-0.093	0.097	98.17	-61.279	36.891	-67.659			1.220	128.977	-0.033	-0.052	61.547	-36.268	25.279	-42.275			1.210	126.649	-0.010	-0.008	105.169	-64.319	40.850	-71.412
2.798	123.735	106.128	68.413	621.653	-265.986	355.668	-541.090			2.565	120.171	107.765	77.539	671.799	-276.784	395.015	-610.581			2.456	123.952	99.945	58.890	678.849	-269.814	409.035	-590.491			1.200	169.929	0.035	0.091	15.877	-8.846	7.031	-8.727			1.233	135.612	0.273	0.213	102.043	-58.224	43.819	-68.746			1.216	131.132	0.073	-0.079	93.469	-59.182	34.287	-63.964			1.233	130.001	-0.103	0.097	98.021	-61.2	36.821	-67.573			1.220	128.978	-0.067	0.015	61.499	-36.244	25.256	-42.246			1.209	126.621	-0.013	-0.008	105.098	-64.297	40.801	-71.369
2.744	123.818	104.649	68.507	624.148	-265.566	358.582	-542.258			2.564	120.224	107.703	77.310	672.899	-277.297	395.602	-610.893			2.457	124.032	99.901	58.752	677.855	-269.202	408.652	-589.862			1.200	169.942	0.031	0.101	15.906	-8.855	7.051	-8.736			1.233	135.607	0.347	0.218	102.690	-58.504	44.187	-69.116			1.216	131.129	0.126	-0.102	93.362	-59.161	34.201	-63.903			1.233	130.017	-0.083	0.091	98.04	-61.207	36.833	-67.59			1.220	128.969	-0.083	-0.060	61.306	-36.093	25.213	-42.092			1.209	126.656	0.010	-0.023	105.170	-64.319	40.851	-71.422
2.690	123.922	103.187	68.576	625.675	-264.910	360.764	-542.613			2.563	120.288	107.755	77.232	672.996	-277.446	395.550	-610.783			2.455	124.084	99.774	58.635	677.136	-268.89	408.245	-589.102			1.200	169.924	0.033	0.108	15.914	-8.856	7.059	-8.740			1.234	135.584	0.450	0.261	103.585	-58.929	44.656	-69.642			1.216	131.178	0.121	-0.112	93.502	-59.214	34.288	-63.986			1.232	130.034	-0.087	0.115	98.181	-61.27	36.911	-67.676			1.220	128.957	-0.085	-0.035	61.207	-36.046	25.161	-42.043			1.210	126.688	0.013	-0.017	105.222	-64.336	40.885	-71.457
2.635	124.073	101.655	68.490	626.322	-264.028	362.294	-541.986			2.562	120.172	107.750	77.458	673.340	-277.434	395.905	-611.379			2.455	124.146	99.637	58.500	676.335	-268.541	407.793	-588.217			1.200	169.890	0.031	0.145	15.921	-8.85	7.070	-8.740			1.235	135.565	0.536	0.310	104.509	-59.375	45.133	-70.174			1.216	131.196	0.128	-0.080	93.578	-59.249	34.329	-64.027			1.233	130.033	-0.061	0.129	98.418	-61.398	37.02	-67.819			1.220	128.961	-0.110	-0.035	61.060	-35.949	25.111	-41.936			1.210	126.622	-0.059	-0.064	104.742	-64.075	40.667	-71.113
2.581	124.234	100.130	68.338	626.164	-262.952	363.212	-540.532			2.561	120.214	107.728	77.349	673.242	-277.450	395.792	-611.130			2.453	124.117	99.539	58.511	676.871	-268.72	408.151	-588.366			1.200	169.870	0.030	0.163	15.924	-8.851	7.073	-8.742			1.235	135.577	0.716	0.295	104.959	-59.570	45.389	-70.531			1.216	131.179	0.150	-0.079	93.533	-59.242	34.290	-64.012			1.233	130.045	-0.051	0.116	98.726	-61.527	37.199	-67.981			1.220	128.972	-0.158	-0.046	60.866	-35.821	25.045	-41.785			1.209	126.679	0.004	-0.056	104.672	-64.062	40.610	-71.121
2.526	124.381	98.561	68.192	624.506	-261.458	363.049	-537.886			2.559	120.294	107.762	77.052	674.550	-278.074	396.475	-611.479			2.452	124.127	99.430	58.418	676.305	-268.161	408.144	-588.002			1.200	169.883	0.051	0.155	15.894	-8.832	7.061	-8.740			1.235	135.581	0.786	0.346	105.666	-59.916	45.751	-70.928			1.217	131.141	0.155	-0.034	93.284	-59.162	34.122	-63.886			1.234	130.072	-0.005	0.120	98.98	-61.67	37.31	-68.158			1.220	128.998	-0.212	-0.080	60.622	-35.654	24.968	-41.587			1.209	126.645	-0.067	-0.041	104.509	-63.960	40.549	-71.001
