Time,Yield,Time,Yield,Time,Yield,Time,Yield,Time,Yield
h,%,h,%,h,%,h,%,h,%
Rebpy,,Re4dmb,,Re4tbbp,,Re6dmb,,Re6mesbpy,
0,0,0,0,0,0,0,0,0,0
0.25,6.90676,0.25,13.59807,0.25,19.62382,0.25,9.42105,0.25,3.33872
0.5,9.01332,0.5,19.43442,0.5,27.08464,0.5,13.68421,0.5,6.19278
0.75,9.79773,0.75,22.26233,0.75,31.53605,0.75,15.36842,0.75,7.86214
1,11.01628,1,24.30806,1,35.23511,1,17.57895,1,9.36995
1.5,13.17218,1.5,27.55716,1.5,39.49843,1.5,23.57895,1.5,12.06247
2,14.20819,2,29.42238,2,43.82445,2,28.57895,2,14.00108
3,16.42822,3,33.15283,3,50.15674,3,32.26316,3,17.60905
4,19.63493,4,36.6426,4,55.23511,4,39.21053,4,21.05547
5,21.29748,5,39.59085,5,57.24138,5,40.68421,5,24.28648
7,23.13764,7,41.27557,7,62.25705,7,48.73684,7,28.86376
8,24.22299,8,43.62214,8,64.20063,12,67.21053,8,31.71782
9,24.22299,9,45.72804,12,69.09091,19,77.68421,12,36.1874
10,24.91367,,,19,81.12853,,,19,47.38826
