job_id	B 7 8	A 5 4 6	C	O	O	H	B	H	H
32	1.196	178.532	1.073	-0.542	-0.456	-0.103	0.276	-0.093	-0.093
31	1.196	178.539	1.073	-0.541	-0.456	-0.103	0.273	-0.093	-0.093
30	1.196	178.536	1.074	-0.541	-0.456	-0.102	0.270	-0.092	-0.092
29	1.196	178.523	1.074	-0.540	-0.456	-0.102	0.267	-0.091	-0.091
28	1.196	178.514	1.075	-0.539	-0.456	-0.101	0.263	-0.090	-0.090
27	1.196	178.496	1.076	-0.539	-0.455	-0.101	0.259	-0.089	-0.089
26	1.197	178.437	1.077	-0.538	-0.455	-0.100	0.255	-0.088	-0.088
25	1.196	178.442	1.078	-0.538	-0.454	-0.100	0.250	-0.087	-0.087
24	1.196	178.551	1.079	-0.538	-0.453	-0.099	0.245	-0.086	-0.086
23	1.198	178.192	1.080	-0.535	-0.454	-0.097	0.238	-0.085	-0.085
22	1.196	178.43	1.081	-0.536	-0.452	-0.097	0.233	-0.083	-0.083
21	1.198	178.151	1.083	-0.534	-0.451	-0.096	0.225	-0.082	-0.082
20	1.198	178.104	1.084	-0.533	-0.451	-0.094	0.218	-0.080	-0.080
19	1.197	178.139	1.085	-0.533	-0.449	-0.094	0.211	-0.079	-0.079
18	1.198	177.945	1.087	-0.531	-0.448	-0.092	0.202	-0.077	-0.077
17	1.197	177.917	1.089	-0.530	-0.447	-0.091	0.193	-0.075	-0.075
16	1.199	177.644	1.091	-0.528	-0.446	-0.089	0.184	-0.073	-0.073
15	1.198	177.468	1.092	-0.527	-0.444	-0.088	0.174	-0.071	-0.071
14	1.199	177.216	1.094	-0.525	-0.443	-0.086	0.163	-0.069	-0.069
13	1.199	176.899	1.096	-0.524	-0.441	-0.084	0.151	-0.066	-0.066
12	1.2	176.443	1.098	-0.522	-0.439	-0.082	0.139	-0.064	-0.064
11	1.2	175.868	1.100	-0.520	-0.437	-0.079	0.126	-0.061	-0.061
10	1.201	175.159	1.101	-0.518	-0.435	-0.077	0.113	-0.058	-0.058
9	1.203	174.255	1.102	-0.517	-0.434	-0.074	0.099	-0.055	-0.055
8	1.204	173.143	1.103	-0.515	-0.432	-0.071	0.086	-0.052	-0.052
7	1.206	171.865	1.103	-0.514	-0.430	-0.067	0.073	-0.049	-0.049
6	1.208	170.436	1.102	-0.512	-0.429	-0.062	0.060	-0.045	-0.045
5	1.211	168.87	1.100	-0.512	-0.428	-0.057	0.048	-0.042	-0.042
4	1.215	167.182	1.096	-0.511	-0.428	-0.050	0.037	-0.038	-0.038
3	1.219	165.4	1.091	-0.512	-0.428	-0.043	0.029	-0.034	-0.034
2	1.225	163.565	1.084	-0.513	-0.430	-0.034	0.022	-0.030	-0.030
1	1.231	161.696	1.074	-0.515	-0.432	-0.024	0.018	-0.026	-0.026
0	1.239	159.815	1.061	-0.517	-0.435	-0.013	0.018	-0.022	-0.022
TS	1.249	157.915	1.046	-0.521	-0.439	0.000	0.022	-0.019	-0.019
33	1.258	156.026	1.027	-0.525	-0.444	0.014	0.029	-0.016	-0.016
34	1.269	154.133	1.005	-0.530	-0.449	0.029	0.042	-0.013	-0.013
35	1.282	152.281	0.979	-0.535	-0.455	0.045	0.061	-0.011	-0.011
36	1.296	150.461	0.949	-0.540	-0.462	0.062	0.083	-0.009	-0.009
37	1.312	148.688	0.917	-0.544	-0.468	0.079	0.108	-0.009	-0.009
38	1.33	146.958	0.884	-0.549	-0.474	0.097	0.136	-0.009	-0.009
39	1.348	145.296	0.850	-0.552	-0.480	0.115	0.164	-0.010	-0.010
40	1.369	143.728	0.817	-0.555	-0.485	0.133	0.192	-0.011	-0.011
41	1.391	142.284	0.789	-0.556	-0.491	0.148	0.217	-0.013	-0.013
42	1.414	140.947	0.764	-0.557	-0.497	0.162	0.242	-0.016	-0.016
43	1.437	139.701	0.744	-0.557	-0.504	0.172	0.267	-0.020	-0.020
44	1.462	138.505	0.727	-0.557	-0.511	0.179	0.293	-0.023	-0.023
45	1.49	137.382	0.713	-0.558	-0.520	0.183	0.322	-0.028	-0.028
46	1.52	136.326	0.701	-0.559	-0.527	0.185	0.349	-0.032	-0.032
47	1.554	135.347	0.689	-0.560	-0.535	0.185	0.381	-0.036	-0.036
48	1.59	134.635	0.682	-0.562	-0.544	0.185	0.407	-0.040	-0.040
49	1.623	133.507	0.668	-0.563	-0.550	0.182	0.444	-0.045	-0.045
50	1.661	133.304	0.669	-0.566	-0.559	0.181	0.460	-0.048	-0.048
51	1.695	132.3	0.658	-0.567	-0.566	0.178	0.494	-0.053	-0.053
52	1.732	131.709	0.654	-0.569	-0.574	0.175	0.519	-0.057	-0.057
53	1.763	131.109	0.651	-0.570	-0.581	0.173	0.541	-0.060	-0.060
54	1.808	130.637	0.647	-0.572	-0.588	0.170	0.568	-0.064	-0.064
55	1.829	129.922	0.646	-0.573	-0.593	0.168	0.581	-0.066	-0.066
56	1.878	129.772	0.644	-0.574	-0.600	0.164	0.607	-0.071	-0.071
57	1.905	129.092	0.643	-0.576	-0.605	0.163	0.620	-0.073	-0.073
58	1.94	128.747	0.643	-0.577	-0.610	0.161	0.637	-0.076	-0.076
59	1.974	128.354	0.643	-0.578	-0.615	0.159	0.650	-0.079	-0.079
60	2.006	127.999	0.643	-0.579	-0.619	0.158	0.663	-0.081	-0.081
61	2.038	127.669	0.643	-0.579	-0.623	0.157	0.673	-0.083	-0.083
62	2.069	127.361	0.644	-0.580	-0.626	0.156	0.682	-0.085	-0.085
63	2.1	127.073	0.645	-0.581	-0.629	0.156	0.690	-0.087	-0.087
64	2.129	126.804	0.646	-0.582	-0.632	0.155	0.697	-0.088	-0.088
65	2.158	126.551	0.648	-0.583	-0.635	0.155	0.703	-0.090	-0.090
66	2.185	126.313	0.649	-0.583	-0.637	0.155	0.708	-0.091	-0.091
67	2.213	126.086	0.650	-0.584	-0.639	0.155	0.712	-0.092	-0.092
68	2.239	125.871	0.652	-0.585	-0.640	0.155	0.716	-0.093	-0.093
69	2.264	125.665	0.653	-0.586	-0.642	0.155	0.718	-0.093	-0.093
70	2.289	125.468	0.655	-0.586	-0.643	0.156	0.721	-0.094	-0.094
71	2.313	125.278	0.656	-0.587	-0.644	0.156	0.722	-0.095	-0.095
72	2.337	125.095	0.658	-0.587	-0.645	0.157	0.724	-0.095	-0.095
73	2.359	124.919	0.660	-0.588	-0.646	0.157	0.725	-0.096	-0.096
74	2.382	124.749	0.661	-0.589	-0.647	0.158	0.726	-0.096	-0.096
75	2.403	124.584	0.663	-0.589	-0.647	0.158	0.726	-0.096	-0.096
76	2.424	124.425	0.664	-0.590	-0.648	0.159	0.726	-0.097	-0.097
77	2.444	124.27	0.666	-0.590	-0.649	0.159	0.726	-0.097	-0.097
78	2.464	124.12	0.668	-0.591	-0.649	0.160	0.726	-0.097	-0.097
