job_id	B 3 4	A 2 0 1	C	O	O	H	B	H	H
125	1.196	179.662	1.026	-0.478	-0.510	-0.104	0.244	-0.089	-0.089
124	1.196	179.662	1.026	-0.478	-0.510	-0.104	0.244	-0.089	-0.089
123	1.197	179.678	1.026	-0.478	-0.509	-0.104	0.243	-0.089	-0.089
122	1.197	179.694	1.026	-0.477	-0.509	-0.104	0.241	-0.088	-0.088
121	1.197	179.71	1.027	-0.477	-0.509	-0.103	0.238	-0.088	-0.088
120	1.197	179.724	1.027	-0.476	-0.508	-0.103	0.234	-0.087	-0.087
119	1.197	179.732	1.028	-0.475	-0.508	-0.103	0.230	-0.086	-0.086
118	1.197	179.728	1.028	-0.475	-0.507	-0.102	0.226	-0.085	-0.085
117	1.197	179.725	1.029	-0.474	-0.506	-0.102	0.221	-0.084	-0.084
116	1.197	179.728	1.031	-0.472	-0.506	-0.101	0.214	-0.083	-0.083
115	1.198	179.735	1.032	-0.471	-0.505	-0.100	0.208	-0.082	-0.082
114	1.198	179.71	1.033	-0.470	-0.504	-0.099	0.201	-0.081	-0.081
113	1.198	179.693	1.034	-0.468	-0.502	-0.098	0.193	-0.079	-0.079
112	1.198	179.686	1.036	-0.467	-0.501	-0.097	0.184	-0.078	-0.078
111	1.198	179.663	1.038	-0.465	-0.499	-0.096	0.176	-0.076	-0.076
110	1.201	179.501	1.039	-0.462	-0.498	-0.095	0.166	-0.075	-0.075
109	1.196	179.742	1.041	-0.462	-0.496	-0.095	0.157	-0.073	-0.073
108	1.2	179.454	1.043	-0.459	-0.494	-0.093	0.145	-0.071	-0.071
107	1.199	179.511	1.045	-0.457	-0.492	-0.092	0.134	-0.069	-0.069
106	1.201	179.383	1.048	-0.454	-0.490	-0.090	0.122	-0.068	-0.068
105	1.201	179.295	1.050	-0.452	-0.488	-0.089	0.110	-0.066	-0.066
104	1.201	179.138	1.052	-0.449	-0.485	-0.087	0.097	-0.064	-0.064
103	1.202	178.92	1.055	-0.447	-0.482	-0.086	0.084	-0.062	-0.062
102	1.203	178.594	1.057	-0.444	-0.480	-0.084	0.070	-0.060	-0.060
101	1.203	178.161	1.059	-0.442	-0.477	-0.082	0.056	-0.057	-0.057
100	1.204	177.557	1.061	-0.439	-0.474	-0.080	0.042	-0.055	-0.055
99	1.206	176.757	1.063	-0.436	-0.471	-0.078	0.028	-0.053	-0.053
98	1.207	175.762	1.065	-0.434	-0.469	-0.076	0.015	-0.051	-0.051
97	1.208	174.575	1.066	-0.432	-0.466	-0.073	0.002	-0.048	-0.048
96	1.21	173.216	1.066	-0.430	-0.464	-0.070	-0.011	-0.046	-0.046
95	1.213	171.703	1.065	-0.429	-0.463	-0.066	-0.022	-0.043	-0.043
94	1.216	170.065	1.063	-0.428	-0.462	-0.062	-0.032	-0.040	-0.040
93	1.219	168.333	1.060	-0.428	-0.461	-0.056	-0.039	-0.037	-0.037
92	1.224	166.532	1.055	-0.429	-0.462	-0.050	-0.045	-0.035	-0.035
91	1.228	164.682	1.048	-0.430	-0.463	-0.043	-0.048	-0.032	-0.032
90	1.234	162.801	1.039	-0.432	-0.466	-0.035	-0.048	-0.029	-0.029
89	1.241	160.903	1.028	-0.435	-0.469	-0.025	-0.045	-0.027	-0.027
88	1.248	159.003	1.014	-0.439	-0.473	-0.015	-0.037	-0.025	-0.025
87	1.257	157.113	0.997	-0.444	-0.478	-0.004	-0.026	-0.023	-0.023
86	1.268	155.244	0.978	-0.449	-0.484	0.008	-0.009	-0.022	-0.022
TS	1.281	153.388	0.955	-0.455	-0.491	0.021	0.013	-0.021	-0.021
0	1.294	151.545	0.929	-0.461	-0.498	0.034	0.038	-0.021	-0.021
1	1.309	149.723	0.900	-0.467	-0.506	0.049	0.067	-0.021	-0.021
2	1.327	147.934	0.869	-0.473	-0.514	0.063	0.100	-0.023	-0.023
3	1.348	146.173	0.837	-0.478	-0.522	0.078	0.135	-0.025	-0.025
4	1.371	144.447	0.806	-0.483	-0.530	0.092	0.170	-0.027	-0.027
5	1.396	142.763	0.778	-0.487	-0.539	0.104	0.205	-0.030	-0.030
6	1.423	141.143	0.754	-0.490	-0.548	0.112	0.240	-0.034	-0.034
7	1.451	139.697	0.734	-0.492	-0.557	0.117	0.274	-0.038	-0.038
8	1.488	138.492	0.717	-0.494	-0.567	0.118	0.311	-0.043	-0.043
9	1.517	137.271	0.704	-0.496	-0.575	0.118	0.343	-0.047	-0.047
10	1.56	136.409	0.691	-0.498	-0.586	0.117	0.380	-0.052	-0.052
11	1.591	135.348	0.681	-0.500	-0.594	0.116	0.410	-0.056	-0.056
12	1.63	134.512	0.671	-0.502	-0.603	0.113	0.442	-0.061	-0.061
13	1.669	133.746	0.663	-0.504	-0.612	0.111	0.473	-0.065	-0.065
14	1.704	132.875	0.655	-0.506	-0.620	0.108	0.501	-0.069	-0.069
15	1.746	132.316	0.649	-0.507	-0.628	0.105	0.528	-0.074	-0.074
16	1.779	131.376	0.642	-0.509	-0.635	0.104	0.553	-0.078	-0.078
17	1.819	130.945	0.640	-0.510	-0.643	0.100	0.575	-0.081	-0.081
18	1.854	130.197	0.636	-0.512	-0.649	0.098	0.596	-0.085	-0.085
19	1.893	129.807	0.634	-0.513	-0.656	0.096	0.615	-0.088	-0.088
20	1.927	129.04	0.630	-0.514	-0.660	0.095	0.632	-0.091	-0.091
21	1.964	128.734	0.631	-0.515	-0.666	0.093	0.646	-0.094	-0.094
22	1.998	128.141	0.629	-0.516	-0.670	0.092	0.660	-0.097	-0.097
23	2.032	127.888	0.630	-0.517	-0.675	0.090	0.670	-0.099	-0.099
