job_id	B 16 17	A 15 13 14	C	O	O	H	B	H	H
49	2.453	122.104	0.667	-0.543	-0.687	0.111	0.633	-0.095	-0.120
48	2.456	122.063	0.667	-0.543	-0.688	0.112	0.633	-0.096	-0.119
47	2.448	122.211	0.667	-0.544	-0.688	0.111	0.636	-0.096	-0.120
46	2.442	122.317	0.666	-0.545	-0.689	0.110	0.640	-0.097	-0.120
45	2.435	122.46	0.666	-0.546	-0.689	0.109	0.644	-0.098	-0.120
44	2.427	122.604	0.665	-0.547	-0.690	0.109	0.649	-0.099	-0.120
43	2.419	122.758	0.665	-0.548	-0.691	0.108	0.655	-0.100	-0.120
42	2.41	122.918	0.664	-0.549	-0.693	0.107	0.660	-0.101	-0.121
41	2.4	123.084	0.663	-0.550	-0.694	0.105	0.666	-0.103	-0.121
40	2.39	123.253	0.663	-0.551	-0.695	0.104	0.673	-0.104	-0.121
39	2.379	123.426	0.662	-0.552	-0.696	0.103	0.679	-0.105	-0.122
38	2.367	123.601	0.661	-0.553	-0.698	0.102	0.685	-0.106	-0.122
37	2.354	123.779	0.661	-0.554	-0.699	0.101	0.691	-0.108	-0.122
36	2.34	123.961	0.660	-0.554	-0.700	0.100	0.696	-0.109	-0.122
35	2.324	124.145	0.659	-0.555	-0.701	0.099	0.701	-0.110	-0.122
34	2.307	124.335	0.658	-0.556	-0.702	0.098	0.706	-0.110	-0.122
33	2.288	124.531	0.658	-0.556	-0.703	0.097	0.709	-0.111	-0.122
32	2.267	124.737	0.657	-0.556	-0.703	0.096	0.711	-0.111	-0.122
31	2.244	124.954	0.656	-0.556	-0.703	0.095	0.712	-0.111	-0.121
30	2.22	125.186	0.655	-0.556	-0.702	0.095	0.712	-0.111	-0.120
29	2.194	125.435	0.655	-0.555	-0.701	0.094	0.711	-0.111	-0.119
28	2.166	125.705	0.654	-0.555	-0.700	0.094	0.708	-0.110	-0.118
27	2.137	125.998	0.653	-0.555	-0.699	0.094	0.704	-0.109	-0.117
26	2.107	126.315	0.653	-0.554	-0.696	0.094	0.699	-0.108	-0.115
25	2.076	126.665	0.652	-0.553	-0.694	0.095	0.692	-0.106	-0.113
