job_id	B 12 13	A 11 9 10	C	O	O	H	B	H	H
99	1.228	128.99	0.942	-0.666	-0.484	-0.096	-0.101	-0.082	-0.025
98	1.228	128.986	0.942	-0.666	-0.484	-0.096	-0.101	-0.081	-0.025
97	1.228	128.984	0.942	-0.666	-0.484	-0.096	-0.101	-0.081	-0.025
96	1.228	128.983	0.942	-0.666	-0.484	-0.096	-0.101	-0.081	-0.025
95	1.228	128.983	0.942	-0.666	-0.484	-0.096	-0.101	-0.081	-0.025
94	1.228	128.983	0.942	-0.666	-0.484	-0.096	-0.101	-0.080	-0.025
93	1.228	128.985	0.942	-0.666	-0.484	-0.096	-0.101	-0.080	-0.025
92	1.228	128.987	0.942	-0.666	-0.484	-0.095	-0.102	-0.079	-0.025
91	1.228	128.991	0.942	-0.666	-0.484	-0.095	-0.102	-0.079	-0.024
90	1.228	128.996	0.942	-0.667	-0.484	-0.095	-0.102	-0.079	-0.024
89	1.228	129.001	0.942	-0.667	-0.484	-0.095	-0.102	-0.078	-0.024
88	1.228	129.008	0.942	-0.667	-0.484	-0.095	-0.102	-0.078	-0.024
87	1.228	129.017	0.942	-0.667	-0.484	-0.095	-0.102	-0.077	-0.024
86	1.228	129.027	0.942	-0.667	-0.484	-0.095	-0.103	-0.077	-0.024
85	1.228	129.038	0.943	-0.667	-0.484	-0.095	-0.103	-0.077	-0.024
84	1.228	129.052	0.943	-0.667	-0.484	-0.094	-0.104	-0.076	-0.024
83	1.228	129.069	0.943	-0.667	-0.484	-0.094	-0.104	-0.076	-0.024
82	1.227	129.087	0.943	-0.668	-0.484	-0.094	-0.105	-0.076	-0.024
81	1.227	129.107	0.943	-0.668	-0.484	-0.093	-0.106	-0.075	-0.024
80	1.227	129.13	0.944	-0.668	-0.484	-0.093	-0.106	-0.075	-0.024
79	1.227	129.155	0.944	-0.668	-0.484	-0.092	-0.107	-0.075	-0.024
78	1.226	129.181	0.944	-0.668	-0.484	-0.091	-0.108	-0.075	-0.023
77	1.226	129.21	0.944	-0.668	-0.485	-0.091	-0.109	-0.076	-0.023
76	1.225	129.24	0.945	-0.668	-0.485	-0.090	-0.110	-0.076	-0.023
75	1.225	129.272	0.945	-0.668	-0.485	-0.089	-0.111	-0.076	-0.023
74	1.224	129.305	0.946	-0.668	-0.485	-0.088	-0.112	-0.076	-0.023
73	1.224	129.338	0.946	-0.668	-0.486	-0.087	-0.113	-0.077	-0.023
72	1.223	129.371	0.947	-0.668	-0.486	-0.086	-0.114	-0.077	-0.023
71	1.223	129.404	0.947	-0.668	-0.487	-0.085	-0.115	-0.078	-0.023
70	1.222	129.438	0.948	-0.668	-0.487	-0.084	-0.115	-0.078	-0.023
69	1.221	129.471	0.948	-0.668	-0.488	-0.083	-0.116	-0.079	-0.023
68	1.221	129.505	0.949	-0.668	-0.488	-0.082	-0.116	-0.080	-0.023
67	1.22	129.538	0.949	-0.668	-0.489	-0.081	-0.116	-0.081	-0.023
66	1.22	129.572	0.950	-0.668	-0.490	-0.080	-0.116	-0.082	-0.023
65	1.219	129.605	0.951	-0.668	-0.491	-0.079	-0.116	-0.082	-0.023
64	1.218	129.64	0.951	-0.667	-0.491	-0.078	-0.115	-0.083	-0.023
63	1.218	129.674	0.952	-0.667	-0.492	-0.078	-0.114	-0.084	-0.023
62	1.218	129.709	0.952	-0.667	-0.494	-0.077	-0.114	-0.085	-0.023
61	1.217	129.745	0.953	-0.667	-0.495	-0.077	-0.113	-0.085	-0.023
60	1.217	129.782	0.954	-0.666	-0.496	-0.076	-0.111	-0.086	-0.023
59	1.216	129.819	0.954	-0.666	-0.497	-0.076	-0.110	-0.087	-0.023
58	1.216	129.857	0.955	-0.666	-0.498	-0.076	-0.109	-0.087	-0.024
57	1.216	129.897	0.956	-0.665	-0.500	-0.075	-0.107	-0.088	-0.024
56	1.215	129.937	0.957	-0.665	-0.501	-0.075	-0.106	-0.089	-0.024
55	1.215	129.978	0.957	-0.664	-0.503	-0.075	-0.105	-0.089	-0.024
54	1.215	130.02	0.958	-0.664	-0.504	-0.075	-0.103	-0.090	-0.024
53	1.215	130.064	0.959	-0.664	-0.506	-0.075	-0.102	-0.090	-0.024
52	1.214	130.109	0.960	-0.663	-0.507	-0.075	-0.100	-0.090	-0.024
51	1.214	130.155	0.961	-0.663	-0.509	-0.076	-0.099	-0.091	-0.024
50	1.214	130.204	0.961	-0.662	-0.510	-0.076	-0.097	-0.091	-0.024
49	1.214	130.258	0.962	-0.662	-0.512	-0.076	-0.096	-0.091	-0.024
48	1.214	130.298	0.963	-0.662	-0.514	-0.076	-0.095	-0.091	-0.025
47	1.214	130.357	0.964	-0.661	-0.516	-0.077	-0.092	-0.092	-0.024
46	1.214	130.405	0.965	-0.661	-0.517	-0.077	-0.091	-0.092	-0.025
45	1.214	130.46	0.965	-0.660	-0.519	-0.077	-0.089	-0.092	-0.024
44	1.214	130.512	0.966	-0.660	-0.521	-0.078	-0.088	-0.092	-0.025
43	1.214	130.568	0.967	-0.660	-0.522	-0.078	-0.086	-0.092	-0.025
42	1.214	130.624	0.968	-0.660	-0.524	-0.078	-0.085	-0.092	-0.025
41	1.214	130.681	0.969	-0.659	-0.526	-0.079	-0.083	-0.092	-0.025
40	1.214	130.74	0.969	-0.659	-0.527	-0.079	-0.082	-0.092	-0.025
39	1.214	130.799	0.970	-0.659	-0.529	-0.080	-0.081	-0.091	-0.025
38	1.214	130.859	0.971	-0.659	-0.531	-0.080	-0.079	-0.091	-0.025
37	1.214	130.919	0.971	-0.659	-0.532	-0.080	-0.078	-0.091	-0.025
36	1.214	130.98	0.972	-0.659	-0.534	-0.081	-0.076	-0.090	-0.025
35	1.214	131.041	0.972	-0.659	-0.535	-0.081	-0.075	-0.090	-0.025
