CO_{2};CO_{2};CO_{2} - BH3;CO_{2} - BH3;CO_{2} - BH3;;;;;;BH_{3};BH_{3};BH_{3} - BH3;BH_{3} - BH3;BH_{3} - BH3;BH_{3} - Add-CO2;BH_{3} - Add-CO2;BH_{3} - Add-CO2;;;AlH_{3};AlH_{3};AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;;;NMe_{3};NMe_{3};NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;;PMe_{3};PMe_{3};PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;;NCB;NCB;NCB - BH3;NCB - BH3;NCB - BH3;NCB - Add-CO2;NCB - Add-CO2;NCB - Add-CO2;;;NCAl;NCAl;NCAl - BH3;NCAl - BH3;NCAl - BH3;NCAl - Add-CO2;NCAl - Add-CO2;NCAl - Add-CO2;;;PCB;PCB;PCB - BH3;PCB - BH3;PCB - BH3;PCB - Add-CO2;PCB - Add-CO2;PCB - Add-CO2;;;PCAl;PCAl;PCAl - BH3;PCAl - BH3;PCAl - BH3;PCAl - Add-CO2;PCAl - Add-CO2;PCAl - Add-CO2;;;NMe2B;NMe2B;NMe2B - BH3;NMe2B - BH3;NMe2B - BH3;NMe2B - Add-CO2;NMe2B - Add-CO2;NMe2B - Add-CO2;;;NMe2Al;NMe2Al;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - Add-CO2;NMe2Al - Add-CO2;NMe2Al - Add-CO2;;;PMe2B;PMe2B;PMe2B - BH3;PMe2B - BH3;PMe2B - BH3;PMe2B - Add-CO2;PMe2B - Add-CO2;PMe2B - Add-CO2;;;PMe2Al;PMe2Al;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - Add-CO2;PMe2Al - Add-CO2;PMe2Al - Add-CO2
BH distance;OCO angle;Strain;Interaction;Total Energy;;;;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag NMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag PMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy
1.196;179.662;0.160;-2.314;-2.15;;;;;;1.196;179.176;0.201;-1.915;-1.714;;;;;;1.196;178.532;0.105;-1.074;-0.969;;;;;;1.197;174.795;0.781;-5.148;-4.367;-16.30;-5.99;-22.290;;;1.228;131.106;34.629;-46.842;-12.213;62.650;-74.863;-12.213;;;1.217;130.000;16.417;-36.497;-20.080;;;;;;1.228;128.990;17.133;-37.219;-20.086;;;;;;1.213;127.319;16.419;-37.856;-21.437;;;;;;1.216;126.572;15.999;-35.060;-19.061;;;;;;1.208;129.543;10.441;-21.742;-11.300;;;;;;1.210;131.503;7.258;-16.042;-8.784;;;;;;1.214;124.400;18.152;-39.397;-21.245;;;;;;1.214;123.987;18.339;-36.391;-18.053;;;
1.196;179.662;0.160;-2.314;-2.15;;;;;;1.196;179.182;0.212;-1.910;-1.698;;;;;;1.196;178.539;0.117;-1.066;-0.949;;;;;;1.197;174.795;0.781;-5.148;-4.367;-16.26;-5.99;-22.251;;;1.228;131.120;34.612;-46.826;-12.214;62.709;-74.923;-12.214;;;1.217;130.007;16.414;-36.481;-20.066;;;;;;1.228;128.986;17.162;-37.226;-20.063;;;;;;1.215;127.322;16.441;-37.878;-21.437;;;;;;1.214;126.583;15.956;-34.899;-18.942;;;;;;1.208;129.634;10.301;-21.512;-11.211;;;;;;1.210;131.485;7.213;-15.978;-8.765;;;;;;1.214;124.396;18.141;-39.277;-21.136;;;;;;1.214;124.000;18.300;-36.262;-17.963;;;
1.197;179.678;0.165;-2.305;-2.14;;;;;;1.196;179.193;0.226;-1.904;-1.678;;;;;;1.196;178.536;0.128;-1.051;-0.923;;;;;;1.197;174.821;0.782;-5.134;-4.352;-15.72;-5.97;-21.689;;;1.228;131.135;34.568;-46.676;-12.108;62.818;-74.926;-12.108;;;1.217;130.014;16.409;-36.455;-20.046;;;;;;1.228;128.984;17.170;-37.208;-20.038;;;;;;1.213;127.305;16.363;-37.719;-21.356;;;;;;1.217;126.600;15.955;-34.777;-18.822;;;;;;1.207;129.726;10.156;-21.277;-11.122;;;;;;1.210;131.465;7.184;-15.929;-8.745;;;;;;1.215;124.387;18.145;-39.170;-21.024;;;;;;1.214;124.007;18.298;-36.171;-17.872;;;
1.197;179.694;0.174;-2.296;-2.12;;;;;;1.196;179.193;0.237;-1.891;-1.654;;;;;;1.196;178.523;0.137;-1.026;-0.889;;;;;;1.197;174.848;0.779;-5.114;-4.335;-15.07;-5.95;-21.017;;;1.228;131.154;34.476;-46.467;-11.991;62.801;-74.792;-11.991;;;1.217;130.021;16.406;-36.423;-20.017;;;;;;1.228;128.983;17.186;-37.194;-20.009;;;;;;1.214;127.294;16.325;-37.591;-21.266;;;;;;1.215;126.613;15.932;-34.641;-18.709;;;;;;1.207;129.820;10.024;-21.056;-11.032;;;;;;1.210;131.449;7.152;-15.877;-8.725;;;;;;1.214;124.386;18.102;-39.014;-20.912;;;;;;1.214;124.023;18.268;-36.045;-17.778;;;
1.197;179.710;0.192;-2.293;-2.10;;;;;;1.196;179.187;0.251;-1.875;-1.624;;;;;;1.196;178.514;0.147;-0.992;-0.844;;;;;;1.197;174.873;0.778;-5.095;-4.317;-14.34;-5.94;-20.272;;;1.228;131.178;34.392;-46.259;-11.867;62.814;-74.681;-11.867;;;1.217;130.029;16.405;-36.387;-19.982;;;;;;1.228;128.983;17.199;-37.175;-19.977;;;;;;1.214;127.280;16.256;-37.424;-21.168;;;;;;1.217;126.631;15.914;-34.509;-18.595;;;;;;1.207;129.913;9.900;-20.843;-10.943;;;;;;1.210;131.431;7.131;-15.836;-8.705;;;;;;1.215;124.380;18.098;-38.894;-20.796;;;;;;1.213;124.028;18.285;-35.974;-17.689;;;
1.197;179.724;0.215;-2.289;-2.07;;;;;;1.196;179.158;0.261;-1.850;-1.590;;;;;;1.196;178.496;0.156;-0.948;-0.792;;;;;;1.197;174.894;0.785;-5.080;-4.296;-13.55;-5.92;-19.463;;;1.228;131.207;34.299;-46.034;-11.735;62.810;-74.544;-11.735;;;1.217;130.039;16.405;-36.344;-19.939;;;;;;1.228;128.983;17.213;-37.153;-19.941;;;;;;1.214;127.270;16.201;-37.265;-21.064;;;;;;1.216;126.646;15.891;-34.373;-18.482;;;;;;1.207;130.003;9.767;-20.623;-10.856;;;;;;1.210;131.415;7.111;-15.795;-8.683;;;;;;1.215;124.384;18.066;-38.742;-20.676;;;;;;1.214;124.046;18.264;-35.864;-17.599;;;
1.197;179.732;0.239;-2.278;-2.04;;;;;;1.196;179.136;0.279;-1.829;-1.550;;;;;;1.197;178.437;0.166;-0.893;-0.727;;;;;;1.197;174.909;0.798;-5.069;-4.271;-12.71;-5.89;-18.602;;;1.228;131.241;34.202;-45.797;-11.594;62.810;-74.404;-11.594;;;1.217;130.048;16.402;-36.291;-19.889;;;;;;1.228;128.985;17.224;-37.126;-19.902;;;;;;1.215;127.260;16.131;-37.084;-20.953;;;;;;1.216;126.663;15.874;-34.240;-18.366;;;;;;1.207;130.094;9.635;-20.405;-10.770;;;;;;1.210;131.399;7.099;-15.760;-8.661;;;;;;1.215;124.380;18.081;-38.640;-20.559;;;;;;1.214;124.057;18.264;-35.774;-17.510;;;
1.197;179.728;0.258;-2.252;-1.99;;;;;;1.197;179.130;0.304;-1.805;-1.501;;;;;;1.196;178.442;0.173;-0.821;-0.648;;;;;;1.197;174.916;0.820;-5.062;-4.243;-11.83;-5.87;-17.700;;;1.228;131.279;34.102;-45.549;-11.447;62.806;-74.253;-11.447;;;1.218;130.058;16.394;-36.225;-19.831;;;;;;1.228;128.987;17.235;-37.094;-19.859;;;;;;1.215;127.248;16.076;-36.914;-20.839;;;;;;1.216;126.680;15.856;-34.106;-18.250;;;;;;1.207;130.184;9.551;-20.236;-10.684;;;;;;1.210;131.383;7.088;-15.726;-8.638;;;;;;1.215;124.383;18.053;-38.491;-20.438;;;;;;1.214;124.073;18.243;-35.662;-17.419;;;
1.197;179.725;0.294;-2.236;-1.94;;;;;;1.197;179.117;0.331;-1.769;-1.437;;;;;;1.196;178.551;0.164;-0.715;-0.551;;;;;;1.197;174.918;0.852;-5.063;-4.210;-10.92;-5.85;-16.767;;;1.228;131.322;34.000;-45.293;-11.292;62.805;-74.098;-11.292;;;1.218;130.067;16.379;-36.146;-19.767;;;;;;1.228;128.991;17.244;-37.057;-19.813;;;;;;1.215;127.238;16.020;-36.738;-20.718;;;;;;1.216;126.699;15.850;-33.984;-18.134;;;;;;1.208;130.269;9.360;-19.958;-10.598;;;;;;1.210;131.365;7.087;-15.700;-8.613;;;;;;1.215;124.383;18.040;-38.356;-20.317;;;;;;1.214;124.087;18.225;-35.553;-17.327;;;
