CO_{2}	CO_{2}	CO_{2} - BH3	CO_{2} - BH3	CO_{2} - BH3						BH_{3}	BH_{3}	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - Add-CO2	BH_{3} - Add-CO2	BH_{3} - Add-CO2			AlH_{3}	AlH_{3}	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2			NMe_{3}	NMe_{3}	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2		PMe_{3}	PMe_{3}	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2		NCB	NCB	NCB - BH3	NCB - BH3	NCB - BH3	NCB - Add-CO2	NCB - Add-CO2	NCB - Add-CO2			NCAl	NCAl	NCAl - BH3	NCAl - BH3	NCAl - BH3	NCAl - Add-CO2	NCAl - Add-CO2	NCAl - Add-CO2			PCB	PCB	PCB - BH3	PCB - BH3	PCB - BH3	PCB - Add-CO2	PCB - Add-CO2	PCB - Add-CO2			PCAl	PCAl	PCAl - BH3	PCAl - BH3	PCAl - BH3	PCAl - Add-CO2	PCAl - Add-CO2	PCAl - Add-CO2
BH distance	OCO angle	Strain	Interaction	Total Energy						BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy	Frag NMe3		BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy	Frag PMe3		BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy
1.196	179.662	0.160	-2.314	-2.15						1.196	179.176	0.201	-1.915	-1.714						1.196	178.532	0.105	-1.074	-0.969						2.453	122.104	198.854	-221.144	-22.290						2.317	119.400	195.382	-200.174	-4.792						1.217	130	16.417	-36.497	-20.080						1.228	128.99	17.133	-37.219	-20.086						1.213	127.319	16.419	-37.856	-21.437						1.216	126.572	15.999	-35.060	-19.061			
1.196	179.662	0.160	-2.314	-2.15						1.196	179.182	0.212	-1.910	-1.698						1.196	178.539	0.117	-1.066	-0.949						2.456	122.063	199.574	-221.825	-22.251						2.315	119.465	194.896	-199.694	-4.799						1.217	130.007	16.414	-36.481	-20.066						1.228	128.986	17.162	-37.226	-20.063						1.215	127.322	16.441	-37.878	-21.437						1.214	126.583	15.956	-34.899	-18.942			
1.197	179.678	0.165	-2.305	-2.14						1.196	179.193	0.226	-1.904	-1.678						1.196	178.536	0.128	-1.051	-0.923						2.448	122.211	197.891	-219.580	-21.689						2.296	119.462	193.594	-197.327	-3.733						1.217	130.014	16.409	-36.455	-20.046						1.228	128.984	17.170	-37.208	-20.038						1.213	127.305	16.363	-37.719	-21.356						1.217	126.600	15.955	-34.777	-18.822			
1.197	179.694	0.174	-2.296	-2.12						1.196	179.193	0.237	-1.891	-1.654						1.196	178.523	0.137	-1.026	-0.889						2.442	122.317	196.969	-217.986	-21.017						2.271	119.533	191.334	-193.905	-2.571						1.217	130.021	16.406	-36.423	-20.017						1.228	128.983	17.186	-37.194	-20.009						1.214	127.294	16.325	-37.591	-21.266						1.215	126.613	15.932	-34.641	-18.709			
1.197	179.71	0.192	-2.293	-2.10						1.196	179.187	0.251	-1.875	-1.624						1.196	178.514	0.147	-0.992	-0.844						2.435	122.46	195.588	-215.860	-20.272						2.248	119.519	189.291	-190.631	-1.339						1.217	130.029	16.405	-36.387	-19.982						1.228	128.983	17.199	-37.175	-19.977						1.214	127.280	16.256	-37.424	-21.168						1.217	126.631	15.914	-34.509	-18.595			
1.197	179.724	0.215	-2.289	-2.07						1.196	179.158	0.261	-1.850	-1.590						1.196	178.496	0.156	-0.948	-0.792						2.427	122.604	194.231	-213.694	-19.463						2.228	119.446	187.247	-187.316	-0.069						1.217	130.039	16.405	-36.344	-19.939						1.228	128.983	17.213	-37.153	-19.941						1.214	127.270	16.201	-37.265	-21.064						1.216	126.646	15.891	-34.373	-18.482			
1.197	179.732	0.239	-2.278	-2.04						1.196	179.136	0.279	-1.829	-1.550						1.197	178.437	0.166	-0.893	-0.727						2.419	122.758	192.765	-211.367	-18.602						2.200	119.460	184.314	-183.082	1.232						1.217	130.048	16.402	-36.291	-19.889						1.228	128.985	17.224	-37.126	-19.902						1.215	127.260	16.131	-37.084	-20.953						1.216	126.663	15.874	-34.240	-18.366			
1.197	179.728	0.258	-2.252	-1.99						1.197	179.130	0.304	-1.805	-1.501						1.196	178.442	0.173	-0.821	-0.648						2.41	122.918	191.252	-208.952	-17.700						2.176	119.388	181.785	-179.256	2.529						1.218	130.058	16.394	-36.225	-19.831						1.228	128.987	17.235	-37.094	-19.859						1.215	127.248	16.076	-36.914	-20.839						1.216	126.680	15.856	-34.106	-18.250			
1.197	179.725	0.294	-2.236	-1.94						1.197	179.117	0.331	-1.769	-1.437						1.196	178.551	0.164	-0.715	-0.551						2.4	123.084	189.685	-206.452	-16.767						2.147	119.341	178.790	-174.988	3.802						1.218	130.067	16.379	-36.146	-19.767						1.228	128.991	17.244	-37.057	-19.813						1.215	127.238	16.020	-36.738	-20.718						1.216	126.699	15.850	-33.984	-18.134			
1.197	179.728	0.342	-2.218	-1.88						1.197	179.097	0.364	-1.722	-1.358						1.198	178.192	0.250	-0.690	-0.440						2.39	123.253	188.090	-203.902	-15.812						2.118	119.340	175.478	-170.439	5.039						1.218	130.076	16.358	-36.054	-19.696						1.228	128.996	17.253	-37.015	-19.763						1.215	127.230	15.974	-36.566	-20.592						1.216	126.719	15.854	-33.872	-18.018			
1.198	179.735	0.410	-2.208	-1.80						1.197	179.065	0.405	-1.672	-1.267						1.196	178.430	0.201	-0.512	-0.311						2.379	123.426	186.463	-201.311	-14.848						2.093	119.184	173.035	-166.847	6.188						1.218	130.086	16.331	-35.949	-19.618						1.228	129.001	17.260	-36.969	-19.709						1.215	127.223	15.925	-36.386	-20.461						1.217	126.740	15.850	-33.753	-17.903			
1.198	179.71	0.457	-2.166	-1.71						1.197	178.997	0.454	-1.614	-1.160						1.198	178.151	0.271	-0.430	-0.158						2.367	123.601	184.808	-198.695	-13.886						2.058	119.303	168.546	-161.312	7.234						1.218	130.097	16.298	-35.831	-19.532						1.228	129.008	17.266	-36.917	-19.651						1.215	127.218	15.888	-36.216	-20.328						1.217	126.760	15.832	-33.621	-17.789			
1.198	179.693	0.530	-2.134	-1.60						1.197	179.034	0.504	-1.540	-1.036						1.198	178.104	0.316	-0.296	0.020						2.354	123.779	183.129	-196.065	-12.936						2.027	119.249	165.365	-157.190	8.175						1.218	130.111	16.261	-35.701	-19.440						1.228	129.017	17.269	-36.858	-19.589						1.216	127.215	15.851	-36.042	-20.192						1.217	126.781	15.831	-33.507	-17.676			
1.198	179.686	0.630	-2.106	-1.48						1.196	179.136	0.522	-1.413	-0.891						1.197	178.139	0.307	-0.081	0.226						2.34	123.961	181.436	-193.442	-12.007						1.990	119.319	161.125	-152.118	9.007						1.218	130.125	16.221	-35.561	-19.340						1.228	129.027	17.267	-36.790	-19.523						1.216	127.212	15.802	-35.853	-20.052						1.217	126.804	15.838	-33.402	-17.564			
1.198	179.663	0.734	-2.062	-1.33						1.199	178.807	0.681	-1.417	-0.736						1.198	177.945	0.408	0.049	0.458						2.324	124.145	179.730	-190.837	-11.107						1.950	119.479	156.248	-146.526	9.721						1.218	130.139	16.178	-35.411	-19.233						1.228	129.038	17.258	-36.712	-19.453						1.216	127.211	15.746	-35.655	-19.909						1.217	126.827	15.842	-33.294	-17.452			
1.201	179.501	0.907	-2.067	-1.16						1.197	178.890	0.724	-1.275	-0.551						1.197	177.917	0.425	0.296	0.721						2.307	124.335	177.993	-188.238	-10.244						1.910	119.581	151.936	-141.621	10.314						1.218	130.155	16.133	-35.253	-19.120						1.228	129.052	17.243	-36.623	-19.379						1.216	127.211	15.711	-35.475	-19.764						1.218	126.850	15.835	-33.178	-17.342			
1.196	179.742	0.970	-1.942	-0.97						1.199	178.770	0.861	-1.203	-0.341						1.199	177.644	0.561	0.453	1.013						2.288	124.531	176.208	-185.630	-9.422						1.865	119.868	146.186	-135.384	10.802						1.218	130.171	16.088	-35.088	-19.000						1.228	129.069	17.220	-36.522	-19.301						1.216	127.212	15.671	-35.287	-19.616						1.218	126.874	15.838	-33.071	-17.233			
